TubID,LizardID,Treatment,Date,Time,Trial,Correct,Latency,lt,learnt
8,3371239,C,16/10/2015,Afternoon,10,1,719,0,1
9,1468529,C,12/10/2015,Morning,1,1,368,1,1
9,1468529,C,12/10/2015,Afternoon,2,1,162,1,1
9,1468529,C,13/10/2015,Morning,3,1,80,1,1
9,1468529,C,13/10/2015,Afternoon,4,1,224,1,1
9,1468529,C,14/10/2015,Morning,5,1,202,1,1
9,1468529,C,14/10/2015,Afternoon,6,1,156,1,1
9,1468529,C,15/10/2015,Morning,7,1,452,1,1
9,1468529,C,15/10/2015,Afternoon,8,1,201,0,1
9,1468529,C,16/10/2015,Morning,9,1,143,0,1
9,1468529,C,16/10/2015,Afternoon,10,1,118,0,1
10,3371916,C,12/10/2015,Morning,1,1,128,1,1
10,3371916,C,12/10/2015,Afternoon,2,1,94,1,1
10,3371916,C,13/10/2015,Morning,3,1,187,1,1
10,3371916,C,13/10/2015,Afternoon,4,1,143,1,1
10,3371916,C,14/10/2015,Morning,5,1,212,1,1
10,3371916,C,14/10/2015,Afternoon,6,1,253,1,1
10,3371916,C,15/10/2015,Morning,7,1,45,1,1
10,3371916,C,15/10/2015,Afternoon,8,1,181,0,1
10,3371916,C,16/10/2015,Morning,9,1,160,0,1
10,3371916,C,16/10/2015,Afternoon,10,1,332,0,1
11,1468538,C,12/10/2015,Morning,1,1,223,1,1
11,1468538,C,12/10/2015,Afternoon,2,0,NA,1,1
11,1468538,C,13/10/2015,Morning,3,1,424,1,1
11,1468538,C,13/10/2015,Afternoon,4,1,676,1,1
11,1468538,C,14/10/2015,Morning,5,1,129,1,1
11,1468538,C,14/10/2015,Afternoon,6,1,155,1,1
11,1468538,C,15/10/2015,Morning,7,1,284,1,1
11,1468538,C,15/10/2015,Afternoon,8,1,165,0,1
11,1468538,C,16/10/2015,Morning,9,1,233,0,1
11,1468538,C,16/10/2015,Afternoon,10,1,237,0,1
12,1468516,C,12/10/2015,Morning,1,1,239,1,1
12,1468516,C,12/10/2015,Afternoon,2,1,39,1,1
12,1468516,C,13/10/2015,Morning,3,1,98,1,1
12,1468516,C,13/10/2015,Afternoon,4,1,29,1,1
12,1468516,C,14/10/2015,Morning,5,1,18,1,1
12,1468516,C,14/10/2015,Afternoon,6,1,78,1,1
12,1468516,C,15/10/2015,Morning,7,1,59,1,1
12,1468516,C,15/10/2015,Afternoon,8,1,54,0,1
12,1468516,C,16/10/2015,Morning,9,1,54,0,1
12,1468516,C,16/10/2015,Afternoon,10,1,130,0,1
1,1468549,SL,20/07/2015,Morning,1,1,207,1,1
1,1468549,SL,20/07/2015,Afternoon,2,1,195,1,1
1,1468549,SL,21/07/2015,Morning,3,1,157,1,1
1,1468549,SL,21/07/2015,Afternoon,4,1,173,1,1
1,1468549,SL,22/07/2015,Morning,5,1,175,1,1
1,1468549,SL,22/07/2015,Afternoon,6,1,113,1,1
1,1468549,SL,23/07/2015,Morning,7,1,464,1,1
1,1468549,SL,23/07/2015,Afternoon,8,1,281,0,1
1,1468549,SL,24/07/2015,Morning,9,1,83,0,1
1,1468549,SL,24/07/2015,Afternoon,10,1,371,0,1
2,1468506,SL,20/07/2015,Morning,1,1,3238,1,1
2,1468506,SL,20/07/2015,Afternoon,2,1,290,1,1
2,1468506,SL,21/07/2015,Morning,3,1,169,1,1
2,1468506,SL,21/07/2015,Afternoon,4,1,107,1,1
2,1468506,SL,22/07/2015,Morning,5,1,284,1,1
2,1468506,SL,22/07/2015,Afternoon,6,1,226,1,1
2,1468506,SL,23/07/2015,Morning,7,1,202,1,1
2,1468506,SL,23/07/2015,Afternoon,8,1,352,0,1
2,1468506,SL,24/07/2015,Morning,9,1,154,0,1
2,1468506,SL,24/07/2015,Afternoon,10,1,241,0,1
3,1469229,SL,20/07/2015,Afternoon,1,1,368,1,1
3,1469229,SL,21/07/2015,Morning,2,1,308,1,1
3,1469229,SL,21/07/2015,Afternoon,3,1,234,1,1
3,1469229,SL,22/07/2015,Morning,4,1,351,1,1
3,1469229,SL,22/07/2015,Afternoon,5,1,1066,1,1
3,1469229,SL,23/07/2015,Morning,6,1,735,1,1
3,1469229,SL,23/07/2015,Afternoon,7,1,731,1,1
3,1469229,SL,24/07/2015,Morning,8,1,183,0,1
3,1469229,SL,24/07/2015,Afternoon,9,1,788,0,1
4,1468502,SL,21/07/2015,Morning,1,1,350,1,1
4,1468502,SL,21/07/2015,Afternoon,2,1,1567,1,1
4,1468502,SL,22/07/2015,Morning,3,1,549,1,1
4,1468502,SL,22/07/2015,Afternoon,4,1,823,1,1
4,1468502,SL,23/07/2015,Morning,5,1,828,1,1
4,1468502,SL,23/07/2015,Afternoon,6,1,955,1,1
4,1468502,SL,24/07/2015,Morning,7,1,1176,1,1
4,1468502,SL,24/07/2015,Afternoon,8,1,3542,0,1
5,1469703,SL,20/07/2015,Morning,1,1,80,1,1
5,1469703,SL,20/07/2015,Afternoon,2,1,278,1,1
5,1469703,SL,21/07/2015,Morning,3,1,251,1,1
5,1469703,SL,21/07/2015,Afternoon,4,1,175,1,1
5,1469703,SL,22/07/2015,Morning,5,1,217,1,1
5,1469703,SL,22/07/2015,Afternoon,6,1,99,1,1
5,1469703,SL,23/07/2015,Morning,7,1,579,1,1
5,1469703,SL,23/07/2015,Afternoon,8,1,104,0,1
5,1469703,SL,24/07/2015,Morning,9,1,195,0,1
5,1469703,SL,24/07/2015,Afternoon,10,1,261,0,1
6,1468510,SL,20/07/2015,Morning,1,1,317,1,1
6,1468510,SL,20/07/2015,Afternoon,2,1,203,1,1
6,1468510,SL,21/07/2015,Morning,3,1,1113,1,1
6,1468510,SL,21/07/2015,Afternoon,4,1,2901,1,1
6,1468510,SL,22/07/2015,Morning,5,1,1208,1,1
6,1468510,SL,22/07/2015,Afternoon,6,1,171,1,1
6,1468510,SL,23/07/2015,Morning,7,1,1740,1,1
6,1468510,SL,23/07/2015,Afternoon,8,1,776,0,1
6,1468510,SL,24/07/2015,Morning,9,1,2553,0,1
6,1468510,SL,24/07/2015,Afternoon,10,1,671,0,1
7,3374264,SL,21/07/2015,Morning,1,0,NA,1,0
7,3374264,SL,21/07/2015,Afternoon,2,1,2030,1,0
7,3374264,SL,22/07/2015,Afternoon,3,0,NA,1,0
7,3374264,SL,23/07/2015,Morning,4,1,1092,1,0
7,3374264,SL,23/07/2015,Afternoon,5,1,502,1,0
7,3374264,SL,24/07/2015,Morning,6,1,1062,1,0
7,3374264,SL,24/07/2015,Afternoon,7,1,165,1,0
8,1468509,SL,20/07/2015,Morning,1,1,263,1,1
8,1468509,SL,20/07/2015,Afternoon,2,1,190,1,1
8,1468509,SL,21/07/2015,Morning,3,1,251,1,1
8,1468509,SL,21/07/2015,Afternoon,4,1,951,1,1
8,1468509,SL,22/07/2015,Morning,5,1,275,1,1
8,1468509,SL,22/07/2015,Afternoon,6,1,350,1,1
8,1468509,SL,23/07/2015,Morning,7,1,309,1,1
8,1468509,SL,23/07/2015,Afternoon,8,1,1051,0,1
8,1468509,SL,24/07/2015,Morning,9,1,860,0,1
8,1468509,SL,24/07/2015,Afternoon,10,1,594,0,1
9,1468460,SL,21/07/2015,Morning,1,1,403,1,1
9,1468460,SL,21/07/2015,Afternoon,2,1,806,1,1
9,1468460,SL,22/07/2015,Morning,3,1,540,1,1
9,1468460,SL,22/07/2015,Afternoon,4,1,1625,1,1
9,1468460,SL,23/07/2015,Morning,5,1,451,1,1
9,1468460,SL,23/07/2015,Afternoon,6,1,1043,1,1
9,1468460,SL,24/07/2015,Morning,7,1,452,1,1
9,1468460,SL,24/07/2015,Afternoon,8,1,627,0,1
10,1468515,SL,20/07/2015,Morning,1,1,302,1,1
10,1468515,SL,20/07/2015,Afternoon,2,1,378,1,1
10,1468515,SL,21/07/2015,Morning,3,1,378,1,1
10,1468515,SL,21/07/2015,Afternoon,4,1,265,1,1
10,1468515,SL,22/07/2015,Morning,5,1,388,1,1
10,1468515,SL,22/07/2015,Afternoon,6,1,471,1,1
10,1468515,SL,23/07/2015,Morning,7,1,250,1,1
10,1468515,SL,23/07/2015,Afternoon,8,1,351,0,1
10,1468515,SL,24/07/2015,Morning,9,1,539,0,1
11,1469223,SL,20/07/2015,Morning,1,1,731,1,1
11,1469223,SL,20/07/2015,Afternoon,2,1,704,1,1
11,1469223,SL,21/07/2015,Morning,3,1,806,1,1
11,1469223,SL,21/07/2015,Afternoon,4,1,1257,1,1
11,1469223,SL,22/07/2015,Morning,5,1,1004,1,1
11,1469223,SL,22/07/2015,Afternoon,6,1,858,1,1
11,1469223,SL,23/07/2015,Morning,7,1,858,1,1
11,1469223,SL,23/07/2015,Afternoon,8,1,2756,0,1
11,1469223,SL,24/07/2015,Morning,9,1,1272,0,1
11,1469223,SL,24/07/2015,Afternoon,10,1,1097,0,1
12,1468535,C,20/07/2015,Morning,1,1,1549,1,1
12,1468535,C,20/07/2015,Afternoon,2,1,901,1,1
12,1468535,C,21/07/2015,Morning,3,1,198,1,1
12,1468535,C,21/07/2015,Afternoon,4,1,878,1,1
12,1468535,C,22/07/2015,Morning,5,1,391,1,1
12,1468535,C,22/07/2015,Afternoon,6,1,722,1,1
12,1468535,C,23/07/2015,Morning,7,1,472,1,1
12,1468535,C,23/07/2015,Afternoon,8,0,NA,0,1
12,1468535,C,24/07/2015,Morning,9,1,1061,0,1
12,1468535,C,24/07/2015,Afternoon,10,1,859,0,1
14,1469218,C,21/07/2015,Morning,1,1,115,1,1
14,1469218,C,21/07/2015,Afternoon,2,1,158,1,1
14,1469218,C,22/07/2015,Morning,3,1,44,1,1
14,1469218,C,22/07/2015,Afternoon,4,1,161,1,1
14,1469218,C,23/07/2015,Morning,5,1,138,1,1
14,1469218,C,23/07/2015,Afternoon,6,1,92,1,1
14,1469218,C,24/07/2015,Morning,7,1,878,1,1
14,1469218,C,24/07/2015,Afternoon,8,1,133,0,1
15,1468476,C,20/07/2015,Afternoon,1,1,793,1,0
15,1468476,C,21/07/2015,Morning,2,1,68,1,0
15,1468476,C,21/07/2015,Afternoon,3,0,NA,1,0
15,1468476,C,22/07/2015,Morning,4,0,NA,1,0
15,1468476,C,22/07/2015,Afternoon,5,0,NA,1,0
15,1468476,C,23/07/2015,Morning,6,1,371,1,0
15,1468476,C,23/07/2015,Afternoon,7,1,425,1,0
15,1468476,C,24/07/2015,Morning,8,0,NA,1,0
16,1468532,C,21/07/2015,Morning,1,1,102,1,0
16,1468532,C,21/07/2015,Afternoon,2,0,NA,1,0
16,1468532,C,22/07/2015,Afternoon,3,1,1482,1,0
16,1468532,C,23/07/2015,Morning,4,0,NA,1,0
16,1468532,C,23/07/2015,Afternoon,5,0,NA,1,0
16,1468532,C,24/07/2015,Morning,6,0,NA,1,0
16,1468532,C,24/07/2015,Afternoon,7,0,NA,1,0
19,3368899,C,20/07/2015,Morning,1,1,243,1,1
19,3368899,C,20/07/2015,Afternoon,2,1,45,1,1
19,3368899,C,21/07/2015,Morning,3,1,107,1,1
19,3368899,C,21/07/2015,Afternoon,4,1,280,1,1
19,3368899,C,22/07/2015,Morning,5,1,35,1,1
19,3368899,C,22/07/2015,Afternoon,6,1,260,1,1
19,3368899,C,23/07/2015,Morning,7,1,100,1,1
19,3368899,C,23/07/2015,Afternoon,8,1,112,0,1
19,3368899,C,24/07/2015,Morning,9,1,95,0,1
19,3368899,C,24/07/2015,Afternoon,10,1,215,0,1
